English Meaning, PIE Root, Early Changes, Post Laryngeals, Post Resonant, Post Grimm 1, Post Grimm 2, Post Grimm 3, Post Verner, Proto-Germanic Approximation
father, ph₁tˈer, ph₁tˈer, patˈer, patˈer, faθˈer, faθˈer, faθˈer, faðer, faðer
mother,  meh₂tˈer,  meh₂tˈer,  motˈer,  motˈer,  moθˈer,  moθˈer,  moθˈer,  moðer,  moðer
heart, kerd, kerd, kerd, kerd, xerd, xert, xert, xert, xert
water, wed‎r̥, wed‎r̥, wed‎r̥, wed‎ur, wed‎ur, wet‎ur, wet‎ur, wet‎ur, wet‎ur
ten, dekm̥d , dekm̥d , dekm̥d , dekumd , dexumd , texumt , texumt , texumt , texun 
apple, h₂ebol, h₂ebol, abol, abol, abol, apol, apol, apol, apol
tooth, h₁dontm̥, h₁dontm̥, dontm̥, dontum, donθum, tonθum, tonθum, tonθum, tonθun
who, kʷos, kʷos, kʷos, kʷos, xʷos, xʷos, xʷos, xʷos, xʷos
murder, mr̥tro, mr̥tro, mr̥tro, murtro, murθro, murθro, murθro, murθro, murθro
full, pl̥h₁no, pl̥h₁no, pl̥ano, pulano, fulano, fulano, fulano, fulano, fula
what, kʷ̜od, kʷ̜od, kʷ̜od, kʷ̜od, xʷ̜od, xʷ̜ot, xʷ̜ot, xʷ̜ot, xʷ̜ot
taken, nm̥mono, nm̥mono, nm̥mono, nummono, nummono, nummono, nummono, nummono, nummana
eat, ed, ed, ed, ed, ed, et, et, et, et
bear, bʰer, bʰer, bʰer, bʰer, bʰer, bʰer, ber, ber, ber
foot, pod, pod, pod, pod, fod, fot, fot, fot, fot
hundred, km̥tom, km̥tom, km̥tom, kumtom, xumθom, xumθom, xumθom, xumθom, xumθon
foot, pod, pod, pod, pod, fod, fot, fot, fot, fot
what, kʷ̜od, kʷ̜od, kʷ̜od, kʷ̜od, xʷ̜od, xʷ̜ot, xʷ̜ot, xʷ̜ot, xʷ̜ot
eat, ed, ed, ed, ed, ed, et, et, et, et
